公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
广州趣米网络科技有限公司,广州趣米网络,50-150人,天使轮,天河区,产品经理,1-3年,大专,6k-12k,"周末双休,五险一金,年度体检,带薪年假"
广州诗悦网络科技有限公司,诗悦网络,150-500人,不需要融资,天河区,产品经理,3-5年,本科,10k-20k,"氛围好,团队靠谱,破亿流水"
益邦控股集团有限公司,益邦控股集团,500-2000人,未融资,白云区,产品经理,5-10年,本科,12k-18k,"周末双休,六险一金,专业培训,年度体检"
广州优盟广告策划有限公司,优盟广告,15-50人,未融资,番禺区,产品经理,1-3年,本科,12k-15k,"和微信合作,绩效奖金,竞争力工资,技术氛围浓"
深圳隽思信息科技有限公司,深圳隽思,50-150人,未融资,天河区,产品经理,3-5年,本科,15k-28k,"晋升机会多,周末双休,五险一金"
上海游民网络科技有限公司,3K游戏,150-500人,不需要融资,天河区,产品经理,3-5年,不限,8k-15k,"六险一金,高额奖金,团队活跃,海外旅游"
广州久邦世纪科技有限公司,久邦GOMO,500-2000人,上市公司,越秀区,产品经理,1-3年,本科,10k-15k,"弹性上班,双休,五险一金,团队奖金"
广州酷麦信息科技有限公司,酷麦,15-50人,A轮,天河区,产品经理,1-3年,大专,10k-20k,"五险一金,五险一金,周末双休,餐补 旅游"
广州酷旅旅行社有限公司,要出发,500-2000人,D轮及以上,天河区,产品经理,1-3年,本科,8k-16k,五险一金 双休 下午茶 员工内部优惠旅游
万惠投资管理有限公司,PPmoney互联网金融平台,500-2000人,上市公司,天河区,高级产品经理,5-10年,本科,15k-25k,互联网金融 上市公司 健身房水果下午茶
广州维胜信息技术有限公司,搜款网 VVIC,50-150人,A轮,天河区,产品经理,1-3年,本科,10k-20k,"团队大牛多,福利齐全,市场前景大,年底多薪"
广州梦映动漫网络科技有限公司,梦映动漫,50-150人,A轮,海珠区,产品经理,1-3年,本科,10k-18k,"周末双休,五险一金,年度旅行,年度体检"
广州福利汇网络科技有限公司,福利金融,50-150人,A轮,天河区,产品经理,1-3年,本科,15k-30k,"年底多薪,带薪年假,股票期权,下午茶"
广东重运宝科技有限公司,重运宝,50-150人,未融资,海珠区,产品经理,3-5年,大专,8k-16k,"做五休二,五险一金,扁平管理,团队活动"
广州铠源信息科技有限公司,铠源科技,50-150人,不需要融资,天河区,产品经理,3-5年,本科,10k-15k,"高速发展,扁平管理,敏捷开发,团队融洽"
