公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
广州汉蜂科技有限公司,汉蜂科技,15-50人,不需要融资,番禺区,产品经理,1-3年,大专,6k-12k,"技术大牛,氛围活跃,大型项目,发展空间"
广东健客医药有限公司,健客网,500-2000人,A轮,萝岗区,会员产品经理,1-3年,本科,10k-20k,"晋升空间大,大平台"
广州小鹏汽车科技有限公司,小鹏汽车,150-500人,A轮,黄埔区,车联网产品经理/资深产品经理/专家,3-5年,本科,18k-36k,前景好
广东健客医药有限公司,健客网,500-2000人,A轮,萝岗区,社交产品经理,3-5年,本科,15k-30k,"晋升空间大,竞争力薪酬"
广州云移信息科技有限公司,掌贝（云移科技）,500-2000人,B轮,天河区,数据产品经理,不限,本科,15k-25k,42项福利 专业培训 晋升空间 团建社团
广州爱范儿科技股份有限公司,爱范儿,50-150人,上市公司,海珠区,产品经理,1-3年,本科,7k-10k,"发展前景好,挑战性,机会多"
广州市睿驰计算机科技有限公司,睿驰科技,50-150人,天使轮,海珠区,产品经理,1-3年,本科,10k-18k,"领导好,薪资高,周末双休,地铁周边"
广州伊的家网络科技有限公司,伊的家,2000人以上,不需要融资,天河区,高级产品经理,3-5年,不限,12k-18k,"弹性工作制,月度奖金,年度加薪,五险一金"
广东省电信规划设计院有限公司,设计院,2000人以上,上市公司,天河区,产品经理（支付产品）,3-5年,本科,10k-15k,"高薪,高温补贴,支付"
广州广府通信息科技有限公司,广州广府通,15-50人,未融资,越秀区,高级产品经理,3-5年,本科,10k-15k,"创业,国企,互联网"
广州市德贤信息科技有限公司,火木新媒体,少于15人,天使轮,天河区,产品经理,1-3年,本科,6k-7k,"团队拓展,年终多薪,体检福利,氛围好"
广州市漫灵软件有限公司,漫灵软件,150-500人,未融资,天河区,产品经理（APP）,1-3年,大专,15k-25k,"五险一金,出国旅游,年终奖金,包三餐"
广州智数信息技术有限公司,广州智数,15-50人,A轮,天河区,产品经理/需求分析师,3-5年,本科,9k-18k,"城商行,农商行,通用产品,项目设计"
广州小迈网络科技有限公司,车主无忧,150-500人,A轮,天河区,高级产品经理,3-5年,本科,18k-25k,"平台宽,大牛多,福利齐全,双休弹性"
彩讯科技股份有限公司,彩讯股份,500-2000人,上市公司,天河区,中高级产品经理（急招）,3-5年,本科,10k-16k,"自由,上升空间大"
深圳道乐科技有限公司,深圳道乐,50-150人,未融资,海珠区,产品经理,1-3年,本科,10k-15k,"五险一金,期权鼓励,年终奖金,绩效奖金"
广州市微服技术服务发展有限公司,广州微服,50-150人,上市公司,天河区,产品经理,3-5年,大专,7k-9k,"五险一金,员工旅游,股票期权"
广州启舟信息科技有限公司,启舟科技,少于15人,天使轮,天河区,产品经理,1-3年,大专,6K-12K,"周末双休,项目提成,股票期权,员工旅游"
广东省电信规划设计院有限公司,设计院,2000人以上,上市公司,天河区,产品经理（数据产品）,3-5年,本科,10k-15k,"高薪,高温补贴,3年经验"
广州启舟信息科技有限公司,启舟科技,少于15人,天使轮,天河区,产品经理,1-3年,大专,6K-12K,"周末双休,项目提成,股票期权,员工旅游"
广州美亚尚途国际旅行社有限公司,美亚商旅,150-500人,不需要融资,天河区,互联网产品经理,5-10年,本科,10k-15k,"五险一金,年底双薪,带新年假,员工旅游"
广州大世信息科技有限公司,大世科技,15-50人,未融资,天河区,产品经理,1-3年,本科,7k-12k,"扁平管理,平台好,团队棒棒,项目奖金"
广州凯缇圣梵生物科技有限公司,凯缇圣梵,50-150人,未融资,越秀区,产品经理,1-3年,大专,8k-14k,"周末双休,带薪年假,五险一金,节日福利"
深圳市点购电子商务有限公司广州分公司,点购商城,50-150人,未融资,天河区,产品经理,3-5年,大专,13K-18K,"数据库开发,APP,商城平台"
广州虎牙信息科技有限公司,虎牙信息,500-2000人,B轮,番禺区,产品经理（营收方向）,不限,本科,17k-34k,"发展空间大,工作氛围好,精英团队,团队大牛多"
北京盈保倍信息科技有限公司,蜗牛保险,50-150人,A轮,海珠区,平台产品经理,3-5年,大专,10k-15k,"行业好,弹性上班,六险一金,专业"
广州乐宸网络科技有限公司,乐宸科技,15-50人,A轮,海珠区,产品经理,1-3年,本科,9k-18k,"双休,五险一金"
广东阿斯拜尔信息科技有限公司,阿斯拜尔,15-50人,不需要融资,海珠区,产品经理,3-5年,本科,8k-15k,"精英汇聚,前景广阔,技术前沿"
广州美人信息技术有限公司,美人信息,150-500人,A轮,越秀区,产品经理,1-3年,本科,10k-15k,"产品前景好,晋升空间大,扁平化管理,俊男美女多"
广州心康信息科技有限公司,心康科技,150-500人,不需要融资,天河区,产品经理,不限,不限,8k-16k,"全员持股,大牛带队,朝阳行业,福利诱人"
广东锦峰集团有限公司广州分公司,锦峰,500-2000人,不需要融资,天河区,高级产品经理-智能家居,3-5年,本科,18k-35k,"临近地铁,扁平化,周末双休,美女多多"
广东网金控股股份有限公司,网金控股,50-150人,A轮,天河区,产品经理,1-3年,本科,8k-14k,氛围好
雪松控股集团有限公司,雪松控股集团有限公司,2000人以上,不需要融资,白云区,数据可视化产品经理,3-5年,本科,10k-20k,"平台大,领导专业,团队氛围好"
广州合立正通信息科技有限公司,合立正通,150-500人,B轮,番禺区,产品经理,3-5年,本科,12k-24k,"五险一金,周末双休,带薪年假,节日福利"
广东世纪晓教育科技有限公司,晓教育,2000人以上,不需要融资,天河区,产品经理（互联网在线教育）,3-5年,本科,10k-15k,"风口行业,年终奖,行业前三,年度旅游"
广州好品汇网络科技有限公司,好品汇,150-500人,不需要融资,海珠区,产品经理,1-3年,本科,15k-30k,"六险一金,绩效奖金,全勤奖,年底双薪"
广州华多网络科技有限公司,欢聚时代（YY Inc）,2000人以上,上市公司,番禺区,产品经理（极速版手Y）,1-3年,大专,14k-28k,"上市公司,平台广阔"
广州市讯飞樽鸿信息技术有限公司,科大讯飞广州子公司,50-150人,上市公司,天河区,产品经理,不限,本科,8k-15k,"内部创业,氛围轻松"
广东金砖天网信息科技有限公司,金砖天网,15-50人,天使轮,白云区,产品经理,1-3年,大专,8k-10k,"有分红,高管,发展空间大,提升快"
广州万链信息科技有限公司,广州万链,50-150人,未融资,天河区,产品经理,1-3年,本科,10k-15k,"周末双休,弹性工作"
广州酷旅旅行社有限公司,要出发,500-2000人,D轮及以上,天河区,亲子游产品经理/旅行线路策划,1-3年,本科,5k-10k,发展空间较大
广州四三九九信息科技有限公司,4399游戏,500-2000人,未融资,天河区,产品经理,1-3年,本科,8k-15k,"员工食堂,六险一金,大平台"
广州趣丸网络科技有限公司,趣丸,150-500人,不需要融资,天河区,产品经理（社交平台）,1-3年,本科,9k-15k,"五险一金,带薪年假,年度旅游,包两餐"
广州脑动网络科技有限公司,次元仓,150-500人,B轮,荔湾区,产品经理,1-3年,本科,5k-10k,"五险一金,餐补,年度体检"
广州启舟信息科技有限公司,启舟科技,少于15人,天使轮,天河区,高级产品经理,3-5年,本科,12K-24K,"周末双休,项目提成,股票期权,员工旅游"
广东鑫荣投资有限公司,鑫荣,,,越秀区,高级产品经理,不限,大专,8K-10K,周末双休，九点半上班，六点下班。时间自由
广州威尔森信息科技有限公司,Ways,150-500人,未融资,天河区,产品经理,5-10年,不限,10k-20k,六险一金
广州京墨医疗科技有限公司,广州京墨,15-50人,不需要融资,海珠区,产品经理,不限,本科,5k-8k,"项目多,周末双休,五险一金"
广东世纪晓教育科技有限公司,晓教育,2000人以上,不需要融资,天河区,数据产品经理,1-3年,本科,10k-20k,"五险一金,团队氛围好,年终双薪,年终绩效奖"
广州京墨医疗科技有限公司,广州京墨,15-50人,不需要融资,海珠区,产品经理,不限,本科,5k-8k,"项目多,周末双休,五险一金"
广州快效信息技术有限公司,广州快效,15-50人,未融资,海珠区,产品经理,1-3年,大专,10k-20k,"周末双休,五险一金,带薪年假,年终奖"
广州辰岚广告有限公司,辰岚广告,150-500人,不需要融资,天河区,小程序产品经理,1-3年,大专,8k-15k,"六险一金,团队建设,一年14薪,带薪年假"
广州一大批网络科技有限公司,广州一大批网络科技有限公司,15-50人,未融资,花都区,产品经理,3-5年,本科,12k-18k,五险一金
广州卓牛信息科技有限公司,卓牛科技,15-50人,天使轮,天河区,高级产品经理,3-5年,本科,15k-25k,"出海方向,上升空间大,五险一金,带薪年假"
广州明动软件股份有限公司,明动软件,150-500人,上市公司,天河区,产品经理,3-5年,本科,10k-20k,"管理,扁平化,发展空间"
广州李子网络科技有限公司,广州李子网络科技有限公司,15-50人,不需要融资,天河区,产品经理,3-5年,大专,8k-15k,"福利好,弹性工作制,学习氛围"
唯品会（中国）有限公司,唯品会,2000人以上,上市公司,荔湾区,产品经理-广告平台,3-5年,本科,20k-35k,"六险一金,住房免息贷,集体户口,包三餐"
广州穗圣信息科技有限公司,广州穗圣信息科技有限公司,150-500人,A轮,越秀区,产品经理,1-3年,本科,7k-12k,"五险一金,员工旅游,定期体检,年终奖"
广州米速信息科技有限公司,米速信息,150-500人,未融资,白云区,高级产品经理,3-5年,本科,15k-25k,"双休,五险,员工旅游,年终奖励"
三七互娱（上海）科技有限公司,三七互娱,2000人以上,上市公司,天河区,海外产品经理,3-5年,本科,12k-24k,"上市公司,平台好,绩效奖金"
电众数码（北京）广告有限公司广州分公司,电众,50-150人,上市公司,天河区,高级产品经理,3-5年,本科,10k-15k,"团队气氛好,领导好,cbd,有上升空间"
广州蜂羽云科技有限公司,蜂羽云科技,15-50人,未融资,番禺区,产品经理,1-3年,本科,6k-12k,"技术大牛,弹性工作,绩效奖金,氛围活跃"
论客科技（广州）有限公司,Coremail论客,150-500人,不需要融资,番禺区,高级产品经理,3-5年,本科,10k-20k,"周末双休,五险一金,年终奖,绩效奖金"
广东分利宝金服科技有限公司,光大分利宝,150-500人,C轮,荔湾区,产品经理-互联网金融项目,3-5年,本科,8k-15k,"领导好,项目前景好,环境开放,薪资福利好"
广州心与潮信息科技有限公司,心潮,15-50人,A轮,天河区,产品经理,3-5年,大专,15k-25k,"心理科技化,技术氛围好,晋升空间大,有发展前景"
广州鑫燕网络科技有限公司,鑫燕网络,150-500人,B轮,海珠区,产品经理,3-5年,本科,8k-15k,"五险一金,双休,职业规划,年底奖金"
广州虎将网络科技有限公司,新工厂,少于15人,不需要融资,天河区,产品经理,1-3年,大专,4k-8k,成长空间大
广州未名中智教育科技有限公司,广州未名中智教育,50-150人,未融资,越秀区,产品经理,3-5年,大专,10k-20k,"双休加班少,免费午餐,五险一金"
广州富力地产股份有限公司,富力地产,2000人以上,上市公司,天河区,资深产品经理,5-10年,本科,20k-35k,"平台大有钱,团队nic,五险一金,免费自助餐"
广州合摩计算机科技有限公司,爱员工,150-500人,B轮,天河区,金融产品经理,3-5年,本科,15k-30k,"牛人多,架构扁平,上升空间大"
广州诗悦网络科技有限公司,诗悦网络,150-500人,不需要融资,天河区,平台产品经理,3-5年,本科,10k-20k,"靠谱团队,氛围好,破译流水"
广州棒谷科技股份有限公司,广州棒谷科技股份有限公司,2000人以上,不需要融资,白云区,数据产品经理,3-5年,不限,15k-25k,"五险一金,年终奖金"
铂涛信息技术（广州）有限公司,铂涛旅行,500-2000人,未融资,海珠区,（资深）高级产品经理,5-10年,本科,20k-40k,"五险一金,绩效奖金,周末双休,超一亿会员"
广州爱拍网络科技有限公司,爱拍原创,150-500人,D轮及以上,天河区,高级产品经理,3-5年,本科,10k-20k,金装团队
高济（天津）投资有限公司,高济医疗,150-500人,不需要融资,荔湾区,产品经理,3-5年,本科,20K-35K,"发展空间大,五险一金,年终奖"
广州奇艺果信息科技有限公司,奇艺果,50-150人,C轮,海珠区,游戏产品经理,1-3年,本科,8k-15k,"高前景,高发展,高薪资,扁平化"
广州盈尚信息科技有限公司,蜗牛保险医院,150-500人,A轮,海珠区,后台产品经理,3-5年,大专,10k-15k,"行业好,绩效考核,六险一金,弹性上班"
广州易达建信科技开发有限公司,易达科技,150-500人,不需要融资,天河区,产品经理,3-5年,本科,12k-20k,"高薪,团队协作,周末双休"
广州富力地产股份有限公司,富力地产,2000人以上,上市公司,天河区,电商产品经理,3-5年,本科,20k-35k,"实力平台,有工作餐,买房有优惠,周末双休"
芯智云科技（广州）有限公司,芯智云,15-50人,A轮,番禺区,产品经理,3-5年,本科,10k-15k,"扁平管理,物联网行业,团队氛围好,发展空间大"
广州华多网络科技有限公司,欢聚时代（YY Inc）,2000人以上,上市公司,番禺区,产品经理（手Y）,3-5年,本科,18k-36k,"平台广阔,上市公司"
广州小黑屋科技有限公司,小黑屋,15-50人,A轮,海珠区,产品经理,1-3年,大专,10k-16k,"五险一金,年终奖,不打卡"
广州市领宝网络科技有限公司,领宝科技,50-150人,A轮,天河区,产品经理,1-3年,本科,7k-12k,"金融服务,学习机遇多,晋升空间大,五险一金"
广州逸善舒晨生物科技有限公司,ESUN,15-50人,A轮,荔湾区,产品经理,1-3年,大专,7k-14k,"产品经理,产品总监"
广州易职信信息科技有限公司,易职信,150-500人,未融资,天河区,产品经理,1-3年,本科,8k-15k,"岗位晋升,新项目,新平台"
广州心康信息科技有限公司,心康科技,150-500人,不需要融资,天河区,产品经理,1-3年,不限,7k-12k,"大牛带队,渠道资源,扁平化管理,周末双休"
广州菌源保生物科技有限公司,俏婴童,15-50人,不需要融资,番禺区,产品经理,1-3年,大专,8k-15k,"五险一金,双休,年终奖,另一半"
广州星网世纪科技有限公司,网批网,50-150人,未融资,天河区,产品经理,3-5年,本科,16k-20k,"五险一金,年底奖金"
广州联亿网络科技有限公司,任玩堂,150-500人,B轮,天河区,产品经理,1-3年,本科,5k-8k,"发展平台,晋升空间"
广州一蝉信息科技有限公司,一蝉科技,15-50人,未融资,番禺区,产品经理,1-3年,不限,7k-9k,"项目提成,锻炼能力"
广州世讯信息科技有限公司,世讯,50-150人,A轮,海珠区,海外直播产品经理,1-3年,本科,10k-20k,"成长空间大,公司前景好,五险一金,福利多多"
广州极豆网络科技有限公司,口袋兼职,50-150人,B轮,天河区,交易所产品经理,1-3年,本科,10k-20k,"同事养眼,个个段子手,大佬都超帅,每周下午茶"
广州米研网络科技有限公司,米研网络,15-50人,未融资,天河区,产品经理,1年以下,大专,6k-10k,"晋升空间大,周末双休,办公环境好,公司福利好"
