公司全名,公司简称,公司规模,融资阶段,区域,行业,职位名称,工作性质,一级类别,二级类别,工作经验,学历要求,工资,职位福利,工作年限,经验要求,salary,月工资
深圳链家房地产经纪有限公司,深圳链家房地产经纪有限公司,2000人以上,不需要融资,福田区,移动互联网、O2O,数据分析专员,全职,产品/需求/项目类,数据分析,不限,本科,5k-10k,"数据分析,五险一金,周末双休,大平台",[],0.0,"['5', '10']",6.25
深圳市云之讯网络技术有限公司,云之讯,150-500人,B轮,南山区,移动互联网,高级数据分析师 (MJ000849),全职,开发/测试/运维类,数据开发,3-5年,不限,25k-40k,"B轮3亿,公司平台大,项目前景好,成长空间大","['3', '5']",4.0,"['25', '40']",28.75
深圳市和讯华谷信息技术有限公司,极光,500-2000人,D轮及以上,南山区,"移动互联网,数据服务",极光调研 - 高级数据分析师,全职,开发/测试/运维类,数据开发,3-5年,本科,20k-30k,"业界第一,14薪+,牛逼团队,D轮+","['3', '5']",4.0,"['20', '30']",22.5
深圳市数聚能源科技有限公司,数聚能源科技,50-150人,天使轮,罗湖区,"数据服务,移动互联网",数据分析师,全职,技术,后端开发,1-3年,硕士,12K-20K,有建模高手、股票期权、不打卡、领导nice!,"['1', '3']",2.0,"['12', '20']",14.0
深圳虾皮信息科技有限公司,Shopee,2000人以上,上市公司,南山区,电子商务,数据分析师/高级数据分析师,全职,开发/测试/运维类,数据开发,5-10年,本科,25k-50k,"新加坡公司,东南亚市场,15天年假,大牛多","['5', '10']",7.5,"['25', '50']",31.25
汇金智融（北京）科技有限公司,汇金智融,150-500人,上市公司,南山区,"移动互联网,电子商务",数据分析工程师,全职,开发/测试/运维类,数据开发,1-3年,本科,8k-12k,"五险一金,年终奖,加班费,大平台","['1', '3']",2.0,"['8', '12']",9.0
深圳全棉时代科技有限公司,全棉时代,500-2000人,A轮,龙华区,"电子商务,其他",数据分析专员,全职,产品/需求/项目类,数据分析,1-3年,本科,5k-8k,"发展前景好,晋升空间大,工作氛围好,公司福利好","['1', '3']",2.0,"['5', '8']",5.75
平安证券股份有限公司,平安证券,2000人以上,上市公司,福田区,金融,数据分析师,全职,开发/测试/运维类,数据开发,不限,本科,15k-30k,平台大,[],0.0,"['15', '30']",18.75
深圳市明源云客电子商务有限公司,明源云,2000人以上,上市公司,南山区,"移动互联网,企业服务",数据分析师,全职,产品/需求/项目类,数据分析,3-5年,本科,18k-30k,扁平管理，创新氛围，牛人大咖多,"['3', '5']",4.0,"['18', '30']",21.0
广州启橙电子商务有限公司,启橙电商,150-500人,不需要融资,福田区,电子商务,数据分析师,全职,开发/测试/运维类,数据开发,5-10年,本科,25k-32k,"轻松,待遇好,平台好,福利多","['5', '10']",7.5,"['25', '32']",26.75
深圳市博悦科创科技有限公司,博悦科创,500-2000人,不需要融资,福田区,移动互联网,急聘数据分析,全职,开发/测试/运维类,数据开发,1-3年,本科,10k-19k,福利待遇好，发展空间大,"['1', '3']",2.0,"['10', '19']",12.25
深圳链家房地产经纪有限公司,深圳链家房地产经纪有限公司,2000人以上,不需要融资,福田区,移动互联网、O2O,惠州/数据专员/数据分析/应届生优先,全职,开发/测试/运维类,数据开发,1年以下,本科,4k-6k,"五险一金,周末双休,带薪年假,员工旅游",['1'],1.0,"['4', '6']",4.5
深圳世联行地产顾问股份有限公司,世联行,2000人以上,上市公司,罗湖区,企业服务,数据分析员,全职,运营/编辑/客服,运营,1-3年,本科,5k-7k,公司平台大，发展前景好,"['1', '3']",2.0,"['5', '7']",5.5
任子行网络技术股份有限公司,任子行,500-2000人,上市公司,南山区,移动互联网,数据分析负责人,全职,开发/测试/运维类,数据开发,5-10年,本科,15k-25k,"国际平台,丰厚奖金,股权激励","['5', '10']",7.5,"['15', '25']",17.5
北京思恩客科技有限公司,蓝色光标SNK,150-500人,不需要融资,南山区,"移动互联网,游戏",数据分析经理,全职,开发/测试/运维类,数据开发,3-5年,大专,9k-13k,"4A公司,平台好,晋升快","['3', '5']",4.0,"['9', '13']",10.0
深圳市前海美联科技有限公司,美联英语在线VIP,2000人以上,B轮,龙岗区,"教育,移动互联网",数据分析师,全职,开发/测试/运维类,数据开发,3-5年,本科,10k-15k,"五险一金,弹性工作,提供住宿,交通补贴","['3', '5']",4.0,"['10', '15']",11.25
深圳市票据宝金融服务有限公司,票据宝pj.com,150-500人,B轮,南山区,金融,数据分析,全职,产品/需求/项目类,数据分析,1-3年,本科,10k-20k,"五险一金,年终奖,弹性工作,发展空间大","['1', '3']",2.0,"['10', '20']",12.5
深圳市北航旭飞科技有限公司,北航旭飞,50-150人,不需要融资,南山区,"移动互联网,人工智能",数据分析师,全职,开发/测试/运维类,数据开发,3-5年,硕士,12k-20k,"数据分析,数据收集,数据挖掘","['3', '5']",4.0,"['12', '20']",14.0
深圳市人人聚财金融信息服务有限公司,人人聚财,2000人以上,A轮,南山区,金融,数据分析师-科技赋能部,全职,开发/测试/运维类,数据开发,3-5年,本科,10k-20k,"五险一金,绩效奖金,节日福利,员工旅游","['3', '5']",4.0,"['10', '20']",12.5
百丽电子商务（上海）有限公司,百丽新零售,500-2000人,不需要融资,南山区,"移动互联网,电子商务",高级数据分析师,全职,开发/测试/运维类,数据开发,1-3年,大专,10k-20k,"五险一金,定期体检,管理规范,下午茶","['1', '3']",2.0,"['10', '20']",12.5
