公司全名,公司简称,公司规模,融资阶段,区域,行业,职位名称,工作性质,一级类别,二级类别,工作经验,学历要求,工资,职位福利,工作年限,经验要求,salary,月工资
广州市中智软件开发有限公司,中智软件,150-500人,不需要融资,越秀区,其他,产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,本科,10k-15k,"绩效奖金,下午茶,年终奖","['3', '5']",4.0,"['10', '15']",11.25
广东灵机文化传播有限公司,灵机文化,150-500人,不需要融资,天河区,"移动互联网,电子商务",产品经理,全职,产品/需求/项目类,产品设计/需求分析,1-3年,本科,10k-20k,30万购房无息贷款 五险一金 公司期权,"['1', '3']",2.0,"['10', '20']",12.5
广州经传多赢投资咨询有限公司,经传多赢,2000人以上,不需要融资,番禺区,"移动互联网,金融",产品经理/产品专员,全职,产品/需求/项目类,产品设计/需求分析,1-3年,本科,6k-12k,"五险一金,绩效奖金,年底多薪,员工旅游","['1', '3']",2.0,"['6', '12']",7.5
广州真境信息科技有限公司,真境,15-50人,天使轮,天河区,"移动互联网,O2O",产品经理,全职,产品/需求/项目类,数据分析,1-3年,大专,10k-15k,"五险一金,带薪年假,双休,节假日福利","['1', '3']",2.0,"['10', '15']",11.25
京滴信息科技（广州）有限公司,京滴科技,15-50人,A轮,天河区,"移动互联网,数据服务",产品经理,全职,产品/需求/项目类,产品设计/需求分析,1-3年,本科,8k-15k,"五险一金,股份期权,晋升空间大,帅哥美女多","['1', '3']",2.0,"['8', '15']",9.75
广州七乐康药业连锁有限公司,七乐康,500-2000人,C轮,荔湾区,"电子商务,医疗健康",供应链产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,本科,10k-20k,"互联网医疗,地铁旁,双休,弹性工作","['3', '5']",4.0,"['10', '20']",12.5
广州威尔森信息科技有限公司,Ways,150-500人,未融资,天河区,"移动互联网,企业服务",产品经理,全职,产品/需求/项目类,产品设计/需求分析,5-10年,本科,8k-15k,六险一金,"['5', '10']",7.5,"['8', '15']",9.75
广州富米科技有限公司,一手服装批发APP,150-500人,A轮,荔湾区,"移动互联网,电子商务",高级产品经理,全职,产品/需求/项目类,产品设计/需求分析,5-10年,本科,15k-25k,"原始股激励,市场空间大,成长快","['5', '10']",7.5,"['15', '25']",17.5
广州军令状教育咨询有限责任公司,军令状教育,15-50人,不需要融资,天河区,"教育,游戏",产品经理,全职,产品/需求/项目类,管理岗,1-3年,硕士,12K-20K,可成重要股东、合伙人,"['1', '3']",2.0,"['12', '20']",14.0
广州市人心网络科技有限公司,壹心理,50-150人,B轮,天河区,移动互联网,产品经理,全职,产品/需求/项目类,产品设计/需求分析,1-3年,本科,10k-15k,"餐补,弹性上下班,年终绩效","['1', '3']",2.0,"['10', '15']",11.25
广州华多网络科技有限公司,欢聚时代（YY Inc）,2000人以上,上市公司,番禺区,移动互联网,产品经理 (MJ000892),全职,产品/需求/项目类,产品设计/需求分析,5-10年,本科,10k-20k,"平台大,福利多","['5', '10']",7.5,"['10', '20']",12.5
